STATIONS_ID,Date,Sunshine duration daily total,Daily amount of precipitation,Daily mean temperature,Daily mean of the relative humidity,Daily mean wind speed
1078,28/10/1970 00:00,0,5.1,12.2,91,6.5
1078,29/10/1970 00:00,0.6,0.2,12.1,88,4.3
1078,30/10/1970 00:00,0,0,13,77,7.4
1078,31/10/1970 00:00,0,0.8,12.5,84,7.3
1078,01/11/1970 00:00,0.8,4.3,12.3,73,7.4
1078,02/11/1970 00:00,0,15.3,13.2,91,5.6
1078,03/11/1970 00:00,0.7,2.3,13.2,68,9.7
1078,04/11/1970 00:00,0.3,1.1,9.9,78,5.8
1078,05/11/1970 00:00,5.8,2.7,9.7,74,7.6
1078,06/11/1970 00:00,5,0,7.8,86,3.7
1078,07/11/1970 00:00,0.2,0,5.6,83,2.3
1078,08/11/1970 00:00,0,0.8,4.1,88,3.7
1078,09/11/1970 00:00,0.6,6.8,8.1,85,7.9
1078,10/11/1970 00:00,1.9,2,7.1,84,4.7
1078,11/11/1970 00:00,0.1,0.8,11.7,82,7.1
1078,12/11/1970 00:00,0.6,4.3,9.3,74,7.1
1078,13/11/1970 00:00,3.9,0,6.2,76,5.4
1078,14/11/1970 00:00,4.8,0.1,6.7,75,6.3
1078,15/11/1970 00:00,0,2,5.1,87,3.8
1078,16/11/1970 00:00,4.3,3.8,4.4,73,5
1078,17/11/1970 00:00,0,3.4,5.6,89,5.3
1078,18/11/1970 00:00,0.3,5.1,13,73,7.4
1078,19/11/1970 00:00,0.9,0,11.2,68,8.1
1078,20/11/1970 00:00,5.4,3.6,8.4,75,6.6
1078,21/11/1970 00:00,6.5,2.3,7.8,77,4.8
1078,22/11/1970 00:00,0,3.6,5.2,92,2.2
1078,23/11/1970 00:00,2.6,0,6.3,74,6.3
1078,24/11/1970 00:00,6.2,0,9.2,49,6.8
1078,25/11/1970 00:00,7.5,0,8.4,55,6.4
1078,26/11/1970 00:00,6.6,0,7.2,71,3.2
1078,27/11/1970 00:00,2,0,7.8,83,2.1
1078,28/11/1970 00:00,2.6,0,6.9,70,6.3
1078,29/11/1970 00:00,0,0.7,11.2,75,6.6
1078,30/11/1970 00:00,1.3,1.2,10,73,6.5
1078,01/12/1970 00:00,0,5.1,7.7,88,4.8
1078,02/12/1970 00:00,0.5,6.2,7.2,87,5.4
1078,03/12/1970 00:00,0,2.3,6.6,87,6.7
1078,04/12/1970 00:00,0,9.5,7,90,5.5
1078,05/12/1970 00:00,0.8,0.1,7.4,86,4.5
1078,06/12/1970 00:00,0,1.1,7,75,6
1078,07/12/1970 00:00,1.1,0.8,5.7,90,3.2
1078,08/12/1970 00:00,3.7,0,1.7,91,0.8
1078,09/12/1970 00:00,0,0,4.7,92,0.9
1078,10/12/1970 00:00,0,0,6.4,89,0.8
1078,11/12/1970 00:00,0.5,0,4.2,77,4.6
1078,12/12/1970 00:00,3.3,0,4.2,78,5.6
1078,13/12/1970 00:00,2.9,0,6.3,89,3.9
1078,14/12/1970 00:00,0.3,0.1,4.3,88,3.4
1078,15/12/1970 00:00,0,0,4.9,80,1.5
1078,16/12/1970 00:00,0,0,3.2,76,0.9
1078,17/12/1970 00:00,0.2,1.4,2.8,76,3.9
1078,18/12/1970 00:00,0,0.3,4.6,92,3.3
1078,19/12/1970 00:00,0,1,5.1,95,3.9
1078,20/12/1970 00:00,0,1.9,5.8,92,3.1
1078,21/12/1970 00:00,3.3,0.4,1.5,85,4.3
1078,22/12/1970 00:00,4.6,0,-0.4,75,4.5
1078,23/12/1970 00:00,3.3,0,-3.9,84,2.1
1078,24/12/1970 00:00,2.3,0,-3.7,84,3.7
1078,25/12/1970 00:00,0.7,0,-2.5,81,3.6
1078,26/12/1970 00:00,4.6,0,-4.5,79,3.3
1078,27/12/1970 00:00,4.2,0,-6.2,78,3.8
1078,28/12/1970 00:00,0,3.9,-2.2,84,4.6
1078,29/12/1970 00:00,0,0,-2.2,82,2.4
1078,30/12/1970 00:00,0,1.9,-3.6,90,4.1
1078,31/12/1970 00:00,0,0.1,-6.2,89,2.2
1078,01/01/1971 00:00,0.2,2,-6.8,90,3.6
1078,02/01/1971 00:00,0,0.3,-3.1,86,4.9
1078,03/01/1971 00:00,0,2.1,-3,90,1.9
1078,04/01/1971 00:00,0,0,-4.7,92,1.9
1078,05/01/1971 00:00,0.1,0,-6.6,79,2.8
1078,06/01/1971 00:00,6.5,0,-6.5,78,6
1078,07/01/1971 00:00,0.4,0,0.4,80,8.3
1078,08/01/1971 00:00,0,0,3.8,76,6.2
1078,09/01/1971 00:00,1.1,0,2.8,66,4.4
1078,10/01/1971 00:00,7.6,0,1.9,71,2
1078,11/01/1971 00:00,6.2,0,4.3,51,3.2
1078,12/01/1971 00:00,5.4,0,3.5,58,5.4
1078,13/01/1971 00:00,4.1,0,2,77,2.5
1078,14/01/1971 00:00,6.8,0,3.5,60,5.3
1078,15/01/1971 00:00,0.2,3.7,2.8,82,2.9
1078,16/01/1971 00:00,0,0,3.8,91,3.5
1078,17/01/1971 00:00,0.5,0,4.3,82,4.1
1078,18/01/1971 00:00,6.6,1.6,3.2,76,6.2
1078,19/01/1971 00:00,1.6,0.7,7.3,80,6.4
1078,20/01/1971 00:00,0.7,1.7,6.1,80,5.5
1078,21/01/1971 00:00,0.7,0,4.6,75,6.4
1078,22/01/1971 00:00,0.9,3.9,6.5,81,7.6
1078,23/01/1971 00:00,0,9.9,7.8,82,8
1078,24/01/1971 00:00,4.6,1.1,6.5,68,9
1078,25/01/1971 00:00,0,5.2,7.8,73,6.4
1078,26/01/1971 00:00,0,8.7,9.8,75,7.9
1078,27/01/1971 00:00,0,11.3,7,86,6.4
1078,28/01/1971 00:00,1.1,1.5,5.9,82,6.1
1078,29/01/1971 00:00,2.4,0,6,76,5.2
1078,30/01/1971 00:00,0,0.4,6.4,62,5.7
1078,31/01/1971 00:00,0.4,0,7.2,70,3.4
1078,01/02/1971 00:00,4.8,0,0.8,55,7
1078,02/02/1971 00:00,8.2,3,-1.1,66,2.2
1078,03/02/1971 00:00,0,3.7,3.6,97,4.5
1078,04/02/1971 00:00,0,0.4,6.8,92,3.7
1078,05/02/1971 00:00,0,0,5.9,84,2.5
1078,06/02/1971 00:00,0,0,4.2,90,1.5
1078,07/02/1971 00:00,0,1.4,5,91,3
1078,08/02/1971 00:00,0.1,0.4,5.2,93,2.5
1078,09/02/1971 00:00,0,0,5.4,92,1.7
1078,10/02/1971 00:00,2.3,0,4.6,77,4.2
1078,11/02/1971 00:00,6.9,0,3.7,78,4.7
1078,12/02/1971 00:00,1.8,0.1,6.7,74,6.6
1078,13/02/1971 00:00,0.7,0.8,6.6,76,7
1078,14/02/1971 00:00,4,0,4.8,74,6.1
1078,15/02/1971 00:00,0,3.6,6,70,9.5
1078,16/02/1971 00:00,0.4,0.3,4,83,4.1
1078,17/02/1971 00:00,0.2,7.1,3.6,76,4.6
1078,18/02/1971 00:00,0,4.8,5.6,93,5
1078,19/02/1971 00:00,3.9,0,4.1,76,2.5
1078,20/02/1971 00:00,5.3,2.8,4.7,79,3.8
1078,21/02/1971 00:00,1.4,6.9,6.5,86,4.6
1078,22/02/1971 00:00,1.8,0.5,4.8,82,6
1078,23/02/1971 00:00,2.5,1.3,4.3,82,3.8
1078,24/02/1971 00:00,0,0.5,5,90,3.2
1078,25/02/1971 00:00,0.4,0.8,5.5,77,5.5
1078,26/02/1971 00:00,3.7,0,1.2,67,4.7
1078,27/02/1971 00:00,5.8,0,-3.1,68,2.9
1078,28/02/1971 00:00,3.1,0.1,-2.4,73,4
1078,01/03/1971 00:00,2.8,0,-1.8,77,2.9
1078,02/03/1971 00:00,1.1,1.8,-0.9,81,2.7
1078,03/03/1971 00:00,7.2,0,-3.4,71,4.7
1078,04/03/1971 00:00,2.3,0.2,-6,78,3.2
1078,05/03/1971 00:00,0,2.8,-6.8,84,2.6
1078,06/03/1971 00:00,9.3,0,-8.2,72,3.6
1078,07/03/1971 00:00,9.4,0,-6.2,77,2.8
1078,08/03/1971 00:00,0,0.3,-2.6,84,1.9
1078,09/03/1971 00:00,0,2.2,3,95,2.5
1078,10/03/1971 00:00,7.2,0.9,2.1,70,5.1
1078,11/03/1971 00:00,6.4,4.6,1.8,68,4.5
1078,12/03/1971 00:00,0,3.3,2.7,92,4
1078,13/03/1971 00:00,2.3,0,4.8,73,3.8
1078,14/03/1971 00:00,1.3,4.6,6.4,76,4.1
1078,15/03/1971 00:00,2.4,0,7.6,62,5
1078,16/03/1971 00:00,7.2,3.2,5.8,70,4.5
1078,17/03/1971 00:00,2.1,6.4,6.2,80,5.8
1078,18/03/1971 00:00,0.7,2.4,9.6,70,7.5
1078,19/03/1971 00:00,2,3.2,9.4,62,6.1
1078,20/03/1971 00:00,1,0.2,7.2,71,4.4
1078,21/03/1971 00:00,0,0,9.1,68,5.1
1078,22/03/1971 00:00,0,0,4.6,76,7.1
1078,23/03/1971 00:00,5,0,4.6,69,3
1078,24/03/1971 00:00,0,3.1,6.6,81,6.2
1078,25/03/1971 00:00,1,3.8,6.2,87,6.7
1078,26/03/1971 00:00,2.4,3.7,4.1,87,3.2
1078,27/03/1971 00:00,3.3,0.3,4.1,81,2.4
1078,28/03/1971 00:00,8.6,0,3,69,1.3
